,over_draft,credit_usage,credit_history,purpose,current_balance,Average_Credit_Balance,employment,location,personal_status,other_parties,residence_since,property_magnitude,cc_age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class,gender
0,1,6.0,4,3,1169.0,0,4,4.0,0,0,4.0,3,67.0,0,1,2.0,2,1.0,1,1,1,0
1,2,48.0,2,3,5951.0,1,2,2.0,4,0,2.0,3,22.0,0,1,1.0,2,1.0,0,1,0,1
2,0,12.0,4,6,2096.0,1,3,2.0,0,0,3.0,3,49.0,0,1,1.0,1,2.0,0,1,1,0
3,1,42.0,2,2,7882.0,1,3,2.0,0,2,4.0,1,45.0,0,2,1.0,2,2.0,0,1,1,0
4,1,24.0,3,0,4870.0,1,2,3.0,0,0,4.0,0,53.0,0,2,2.0,2,2.0,0,1,0,0
5,0,36.0,2,6,9055.0,0,2,2.0,0,0,4.0,0,35.0,0,2,1.0,1,2.0,1,1,1,0
6,0,24.0,2,2,2835.0,3,4,3.0,0,0,4.0,1,53.0,0,1,1.0,2,1.0,0,1,1,0
7,2,36.0,2,1,6948.0,1,2,2.0,0,0,2.0,2,35.0,0,0,1.0,3,1.0,1,1,1,0
8,0,12.0,2,3,3059.0,4,3,2.0,2,0,4.0,3,61.0,0,1,1.0,1,1.0,0,1,1,0
9,2,30.0,4,0,5234.0,1,0,4.0,1,0,2.0,2,28.0,0,1,2.0,3,1.0,0,1,0,0
10,2,12.0,2,0,1295.0,1,1,3.0,4,0,1.0,2,25.0,0,0,1.0,2,1.0,0,1,0,1
11,1,48.0,2,9,4308.0,1,1,3.0,4,0,4.0,1,24.0,0,0,1.0,2,1.0,0,1,0,1
12,2,12.0,2,3,1567.0,1,2,1.0,4,0,1.0,2,22.0,0,1,1.0,2,1.0,1,1,1,1
13,1,24.0,4,0,1199.0,1,4,4.0,0,0,4.0,2,60.0,0,1,2.0,1,1.0,0,1,0,0
14,1,15.0,2,0,1403.0,1,2,2.0,4,0,4.0,2,28.0,0,0,1.0,2,1.0,0,1,1,1
15,1,24.0,2,3,1282.0,2,2,4.0,4,0,2.0,2,32.0,0,1,1.0,1,1.0,0,1,0,1
16,0,24.0,4,3,2424.0,0,4,4.0,0,0,4.0,1,53.0,0,1,2.0,2,1.0,0,1,1,0
17,1,30.0,0,9,8072.0,0,1,2.0,0,0,3.0,2,25.0,2,1,3.0,2,1.0,0,1,1,0
18,2,24.0,2,1,12579.0,1,4,4.0,4,0,2.0,0,44.0,0,2,1.0,3,1.0,1,1,0,1
19,0,24.0,2,3,3430.0,3,4,3.0,0,0,2.0,2,31.0,0,1,1.0,2,2.0,1,1,1,0
20,0,9.0,4,0,2134.0,1,2,4.0,0,0,4.0,2,48.0,0,1,3.0,2,1.0,1,1,1,0
21,1,6.0,2,3,2647.0,3,2,2.0,0,0,3.0,3,44.0,0,0,1.0,2,2.0,0,1,1,0
22,1,10.0,4,0,2241.0,1,1,1.0,0,0,3.0,3,48.0,0,0,2.0,1,2.0,0,0,1,0
23,2,12.0,4,1,1804.0,2,1,3.0,0,0,4.0,1,44.0,0,1,1.0,2,1.0,0,1,1,0
24,0,10.0,4,2,2069.0,0,2,2.0,1,0,1.0,2,26.0,0,1,2.0,2,1.0,0,0,1,0
25,1,6.0,2,2,1374.0,1,2,1.0,0,0,2.0,3,36.0,2,1,1.0,1,1.0,1,1,1,0
26,0,6.0,0,3,426.0,1,4,4.0,1,0,4.0,2,39.0,0,1,1.0,1,1.0,0,1,1,0
27,3,12.0,1,3,409.0,4,2,3.0,4,0,3.0,3,42.0,0,0,2.0,2,1.0,0,1,1,1
28,2,7.0,2,3,2415.0,1,2,3.0,0,2,2.0,3,34.0,0,1,1.0,2,1.0,0,1,1,0
29,1,60.0,3,9,6836.0,1,4,3.0,0,0,4.0,0,63.0,0,1,2.0,2,1.0,1,1,0,0
30,2,18.0,2,9,1913.0,4,1,3.0,1,0,3.0,3,36.0,2,1,1.0,2,1.0,1,1,1,0
31,1,24.0,2,2,4020.0,1,2,2.0,0,0,2.0,2,27.0,1,1,1.0,2,1.0,0,1,1,0
